455304 -0.32 0.727 0.0612 0.0085 0.253 0.0639 0.0226 0.572 
455306 -0.28 0.965 0.0627 0.0103 0.293 0.0400 0.0385 0.904 
455344 0.00 0.200 0.0600 0.0100 0.285 0.0600 0.0100 0.285 
455346 0.00 0.200 0.0600 0.0100 0.285 0.0600 0.0100 0.285 
455351 -0.33 0.782 0.0616 0.0091 0.265 0.0638 0.0237 0.596 
455352 0.57 0.844 0.0621 0.0090 0.263 0.1000 0.1000 1.000 
455353 -0.30 0.776 0.0612 0.0090 0.263 0.0637 0.0242 0.606 
455355 -0.34 0.708 0.0603 0.0084 0.248 0.0657 0.0226 0.573 
455362 -0.35 0.729 0.0625 0.0093 0.272 0.0650 0.0239 0.601 
455363 -0.35 0.696 0.0622 0.0093 0.271 0.0674 0.0237 0.599 
455364 -0.34 0.673 0.0615 0.0090 0.264 0.0674 0.0241 0.609 
455366 -0.34 0.702 0.0608 0.0084 0.250 0.0656 0.0222 0.564 
455367 -0.29 0.972 0.0610 0.0091 0.266 0.0460 0.0419 0.986 
455446 -0.31 0.782 0.0623 0.0093 0.272 0.0652 0.0273 0.679 
455449 0.00 0.200 0.0600 0.0100 0.285 0.0600 0.0100 0.285 
455450 -0.33 0.667 0.0608 0.0086 0.255 0.0663 0.0240 0.606 
455451 -0.35 0.667 0.0609 0.0088 0.257 0.0656 0.0227 0.575 
455452 -0.25 0.837 0.0608 0.0089 0.261 0.0664 0.0242 0.611 
455476 -0.34 0.719 0.0617 0.0088 0.260 0.0643 0.0222 0.562 
455477 -0.36 0.714 0.0611 0.0089 0.260 0.0664 0.0234 0.591 
455478 -0.36 0.678 0.0611 0.0088 0.259 0.0666 0.0237 0.598 
455545 -0.33 0.719 0.0615 0.0090 0.265 0.0660 0.0235 0.594 
455547 -0.35 0.696 0.0609 0.0088 0.258 0.0660 0.0222 0.564 
455550 -0.32 0.852 0.0620 0.0096 0.278 0.0686 0.0225 0.575 
455551 -0.31 0.808 0.0613 0.0087 0.257 0.0624 0.0240 0.602 
455552 -0.31 0.760 0.0612 0.0087 0.256 0.0633 0.0226 0.570 
455585 -0.36 0.715 0.0633 0.0097 0.281 0.0685 0.0263 0.659 
455586 -0.33 0.741 0.0628 0.0095 0.276 0.0672 0.0256 0.642 
455587 -0.33 0.840 0.0624 0.0089 0.263 0.0532 0.0365 0.872 
455589 -0.27 0.855 0.0631 0.0100 0.287 0.0723 0.0324 0.799 
455590 -0.36 0.680 0.0623 0.0094 0.273 0.0679 0.0250 0.629 
455592 -0.33 0.905 0.0615 0.0095 0.274 0.0648 0.0303 0.744 
455604 -0.33 0.718 0.0608 0.0087 0.256 0.0667 0.0223 0.568 
455605 -0.32 0.732 0.0607 0.0085 0.252 0.0638 0.0228 0.576 
455637 -0.27 1.000 0.0644 0.0111 0.313 0.0100 0.0604 1.000 
455638 -0.33 0.724 0.0630 0.0095 0.277 0.0666 0.0252 0.633 
455639 -0.35 0.792 0.0643 0.0097 0.282 0.0623 0.0255 0.635 
